User Id,Datetime,Date,Time,Amount,Slot
357,01-10-2022 0:03,1/10/2022,12:03:00 AM,2000,S1
776,01-10-2022 0:03,1/10/2022,12:03:00 AM,2500,S1
492,01-10-2022 0:06,1/10/2022,12:03:00 AM,5000,S1
803,01-10-2022 0:07,1/10/2022,12:06:00 AM,5000,S1
875,01-10-2022 0:09,1/10/2022,12:07:00 AM,1500,S1
39,01-10-2022 0:11,1/10/2022,12:09:00 AM,4000,S1
539,01-10-2022 0:13,1/10/2022,12:11:00 AM,500,S1
560,01-10-2022 0:15,1/10/2022,12:13:00 AM,2500,S1
30,01-10-2022 0:16,1/10/2022,12:15:00 AM,25000,S1
367,01-10-2022 0:18,1/10/2022,12:16:00 AM,1000,S1
831,01-10-2022 0:21,1/10/2022,12:18:00 AM,955,S1
618,01-10-2022 0:24,1/10/2022,12:21:00 AM,2000,S1
837,01-10-2022 0:25,1/10/2022,12:24:00 AM,516,S1
625,01-10-2022 0:28,1/10/2022,12:25:00 AM,39000,S1
614,01-10-2022 0:29,1/10/2022,12:28:00 AM,1300,S1
539,01-10-2022 0:32,1/10/2022,12:29:00 AM,550,S1
557,01-10-2022 0:37,1/10/2022,12:32:00 AM,5000,S1
28,01-10-2022 0:40,1/10/2022,12:37:00 AM,50000,S1
674,01-10-2022 0:42,1/10/2022,12:40:00 AM,5000,S1
526,01-10-2022 0:43,1/10/2022,12:42:00 AM,5000,S1
749,01-10-2022 0:43,1/10/2022,12:43:00 AM,1500,S1
202,01-10-2022 0:45,1/10/2022,12:43:00 AM,4500,S1
235,01-10-2022 0:49,1/10/2022,12:45:00 AM,1500,S1
423,01-10-2022 0:49,1/10/2022,12:49:00 AM,500,S1
984,01-10-2022 0:50,1/10/2022,12:49:00 AM,5000,S1
796,01-10-2022 0:57,1/10/2022,12:50:00 AM,1100,S1
395,01-10-2022 0:57,1/10/2022,12:57:00 AM,5000,S1
137,01-10-2022 0:58,1/10/2022,12:57:00 AM,10000,S1
837,01-10-2022 1:01,1/10/2022,12:58:00 AM,500,S1
618,01-10-2022 1:01,1/10/2022,1:01:00 AM,2000,S1
450,01-10-2022 1:05,1/10/2022,1:01:00 AM,200,S1
914,01-10-2022 1:08,1/10/2022,1:05:00 AM,2500,S1
565,01-10-2022 1:09,1/10/2022,1:08:00 AM,50,S1
776,01-10-2022 1:11,1/10/2022,1:09:00 AM,6000,S1
251,01-10-2022 1:14,1/10/2022,1:11:00 AM,800,S1
505,01-10-2022 1:14,1/10/2022,1:14:00 AM,4000,S1
