User Id,Datetime,Date,Time,Amount,Slot
190,01-10-2022 0:03,1/10/2022,12:03:00 PM,5872,S1
159,01-10-2022 0:16,1/10/2022,12:03:00 PM,9540,S1
164,01-10-2022 0:24,1/10/2022,12:16:00 PM,815,S1
946,01-10-2022 0:29,1/10/2022,12:24:00 PM,23000,S1
763,01-10-2022 0:40,1/10/2022,12:29:00 PM,9473,S1
47,01-10-2022 1:01,1/10/2022,12:40:00 PM,3637,S1
302,01-10-2022 1:11,1/10/2022,1:01:00 AM,2000,S1
461,01-10-2022 1:17,1/10/2022,1:11:00 AM,9800,S1
12,01-10-2022 1:27,1/10/2022,1:17:00 AM,1800,S1
530,01-10-2022 1:32,1/10/2022,1:27:00 AM,16000,S1
471,01-10-2022 2:00,1/10/2022,1:32:00 AM,25000,S1
968,01-10-2022 2:03,1/10/2022,2:00:00 AM,2000,S1
157,01-10-2022 2:45,1/10/2022,2:03:00 AM,27777,S1
47,01-10-2022 2:52,1/10/2022,2:45:00 AM,1873,S1
313,01-10-2022 3:27,1/10/2022,2:52:00 AM,6000,S1
852,01-10-2022 3:29,1/10/2022,3:27:00 AM,10850,S1
804,01-10-2022 3:32,1/10/2022,3:29:00 AM,1719,S1
417,01-10-2022 3:33,1/10/2022,3:32:00 AM,2750,S1
480,01-10-2022 3:45,1/10/2022,3:33:00 AM,3887,S1
164,01-10-2022 3:50,1/10/2022,3:45:00 AM,5200,S1
946,01-10-2022 3:57,1/10/2022,3:50:00 AM,35000,S1
633,01-10-2022 4:05,1/10/2022,3:57:00 AM,10000,S1
689,01-10-2022 4:05,1/10/2022,4:05:00 AM,200,S1
234,01-10-2022 4:25,1/10/2022,4:05:00 AM,3802,S1
941,01-10-2022 4:36,1/10/2022,4:25:00 AM,60000,S1
390,01-10-2022 4:38,1/10/2022,4:36:00 AM,5000,S1
637,01-10-2022 5:25,1/10/2022,4:38:00 AM,1000,S1
506,01-10-2022 5:48,1/10/2022,5:25:00 AM,6000,S1
667,01-10-2022 5:51,1/10/2022,5:48:00 AM,5289,S1
422,01-10-2022 6:05,1/10/2022,5:51:00 AM,22000,S1
27,01-10-2022 6:44,1/10/2022,6:05:00 AM,6000,S1
677,01-10-2022 6:52,1/10/2022,6:44:00 AM,10000,S1
16,01-10-2022 6:52,1/10/2022,6:52:00 AM,9999,S1
941,01-10-2022 6:54,1/10/2022,6:52:00 AM,175000,S1
238,01-10-2022 7:29,1/10/2022,6:54:00 AM,51000,S1
272,01-10-2022 7:34,1/10/2022,7:29:00 AM,16705,S1
625,01-10-2022 7:52,1/10/2022,7:34:00 AM,21700,S1
541,01-10-2022 8:01,1/10/2022,7:52:00 AM,3700,S1
946,01-10-2022 8:26,1/10/2022,8:01:00 AM,39000,S1
421,01-10-2022 8:30,1/10/2022,8:26:00 AM,7000,S1
253,01-10-2022 8:42,1/10/2022,8:30:00 AM,56069,S1
598,01-10-2022 8:57,1/10/2022,8:42:00 AM,12000,S1
407,01-10-2022 9:03,1/10/2022,8:57:00 AM,9000,S1
276,01-10-2022 9:05,1/10/2022,9:03:00 AM,12925,S1
421,01-10-2022 9:50,1/10/2022,9:05:00 AM,12200,S1
880,01-10-2022 9:54,1/10/2022,9:50:00 AM,240000,S1
440,01-10-2022 10:03,1/10/2022,9:54:00 AM,3300,S1
262,01-10-2022 10:09,1/10/2022,10:03:00 AM,500,S1
464,01-10-2022 10:11,1/10/2022,10:09:00 AM,48600,S1
335,01-10-2022 10:15,1/10/2022,10:11:00 AM,20000,S1
940,01-10-2022 10:17,1/10/2022,10:15:00 AM,50000,S1
774,01-10-2022 10:36,1/10/2022,10:17:00 AM,50000,S1
599,01-10-2022 10:40,1/10/2022,10:36:00 AM,13144,S1
261,01-10-2022 10:54,1/10/2022,10:40:00 AM,500,S1
9,01-10-2022 11:08,1/10/2022,10:54:00 AM,49900,S1
99,01-10-2022 11:36,1/10/2022,11:08:00 AM,61791,S1
299,01-10-2022 11:39,1/10/2022,11:36:00 AM,10000,S1
97,01-10-2022 11:42,1/10/2022,11:39:00 AM,12000,S1
187,01-10-2022 12:05,1/10/2022,11:42:00 AM,2000,S1
99,01-10-2022 12:08,1/10/2022,12:05:00 PM,23198,S1
421,01-10-2022 12:13,1/10/2022,12:08:00 PM,7800,S1
471,01-10-2022 12:33,1/10/2022,12:13:00 PM,17015,S1
885,01-10-2022 12:40,1/10/2022,12:33:00 PM,15000,S1
296,01-10-2022 12:40,1/10/2022,12:40:00 PM,13156,S1
502,01-10-2022 12:41,1/10/2022,12:40:00 PM,500,S1
11,01-10-2022 13:12,1/10/2022,12:41:00 PM,2500,S1
412,01-10-2022 13:27,1/10/2022,1:12:00 AM,1700,S1
962,01-10-2022 13:31,1/10/2022,1:27:00 AM,5100,S1
474,01-10-2022 13:46,1/10/2022,1:31:00 AM,24000,S1
888,01-10-2022 13:58,1/10/2022,1:46:00 AM,5000,S1
31,01-10-2022 14:13,1/10/2022,1:58:00 AM,2000,S1
